STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
722;2023060501;10;6.5;100;eor
722;2023060502;10;6.7;100;eor
722;2023060503;10;7.2;100;eor
722;2023060504;10;6.9;100;eor
722;2023060505;10;6.5;100;eor
722;2023060506;10;6.0;100;eor
722;2023060507;10;5.5;100;eor
722;2023060508;10;5.8;100;eor
722;2023060509;10;5.8;90;eor
722;2023060510;10;6.4;80;eor
722;2023060511;10;6.0;80;eor
722;2023060512;10;6.2;70;eor
722;2023060513;10;6.0;70;eor
722;2023060514;10;5.7;60;eor
722;2023060515;10;6.3;60;eor
722;2023060516;10;6.7;50;eor
722;2023060517;10;7.3;50;eor
722;2023060518;10;6.1;60;eor
722;2023060519;10;4.8;60;eor
722;2023060520;10;4.9;60;eor
722;2023060521;10;5.5;50;eor
722;2023060522;10;6.6;60;eor
722;2023060523;10;7.2;60;eor
